-0.4443,-0.4557,-0.4538,-0.442,-0.4268,-0.4116,-0.4038,-0.4021
-0.4815,-0.4828,-0.4851,-0.4929,-0.4747,-0.4545,-0.4423,-0.4313
-0.4011,-0.4451,-0.4408,-0.3871,-0.3429,-0.2941,-0.2745,-0.263
-0.2992,-0.2761,-0.2399,-0.1397,-0.0761,-0.0698,-0.064,-0.0704
-0.0964,-0.0009,0.0275,0.1287,0.1595,0.164,0.1611,0.1549
0.1998,0.2423,0.2926,0.3632,0.3828,0.3857,0.3782,0.3734
0.4585,0.4839,0.5217,0.5758,0.5944,0.6003,0.5969,0.5921
0.5923,0.7285,0.7506,0.7866,0.8054,0.8154,0.8141,0.8127
0.7357,0.9512,0.9695,0.9948,1.0144,1.0269,1.0283,1.0293
0.8719,1.1165,1.1478,1.1782,1.1999,1.2161,1.2185,1.2206
1.2814,1.3052,1.3265,1.3483,1.3594,1.3655,1.3628,1.3648
1.4124,1.3836,1.4028,1.4156,1.4159,1.4202,1.4205,1.426
1.429,1.4489,1.4607,1.4636,1.4655,1.4747,1.4782,1.4846
1.4057,1.4956,1.5005,1.5045,1.5103,1.5189,1.5243,1.5348
1.3637,1.5287,1.5318,1.5315,1.5359,1.548,1.5558,1.5709
1.3273,1.5483,1.5483,1.538,1.541,1.5554,1.5635,1.5813
1.2984,1.5533,1.5467,1.5277,1.5306,1.5458,1.5526,1.5778
1.1323,1.5178,1.5179,1.5113,1.5101,1.5174,1.5226,1.5513
0.9309,1.4925,1.4989,1.4955,1.4907,1.4874,1.4834,1.5032
0.9572,1.4246,1.4333,1.4081,1.4028,1.447,1.4429,1.4516
0.9893,1.2977,1.3085,1.2798,1.2658,1.3584,1.3743,1.4007
1.0653,1.2951,1.2793,1.2372,1.1867,1.1655,1.2011,1.2674
1.109,1.1947,1.187,1.185,1.1627,1.1435,1.1307,1.1271
1.2318,1.256,1.2224,1.1791,1.1685,1.1768,1.1794,1.1708
